marker,feature,n,median,mad,p10,p90,min,max
global,date_dx_window,11,0.012806663042575137,0.03669949581736458,-0.023892832774789444,0.108436595012823,-0.05698492787569315,0.11979737738595919
global,date_dy_window,11,-0.003264787658239632,0.015742773773898277,-0.0885879291022616,0.012477986115658644,-0.1257017291115876,0.014068064899089804
global,date_offset_norm,11,0.0898268602550135,0.032084720038103066,0.025859244077312157,0.11996846653261017,0.007555267941814791,0.12601213183666568
global,date_window_h_px,11,45.5,4.5,38.0,58.0,35.0,85.0
global,date_window_w_px,11,63.0,13.0,47.0,77.0,40.0,131.0
global,dial_radius_px,11,244.38669166564932,8.193368377685402,195.7936230468751,284.1354407501217,181.1284082031248,443.3077174377436
h01,angular_residual_deg,11,-0.044578577680113085,0.1179233519097238,-0.27263146363071655,0.2887136938638868,-1.7596763314368218,0.32367433813811886
h01,anisotropy,11,1.1796664651102962,0.03588927758881244,1.1323256314206667,1.225455141627571,1.1054677912729327,1.2425144271744823
h01,area_norm,11,0.019096195563031604,0.0006409679315855857,0.017564975063190946,0.020220988165106285,0.011930063007833603,0.020544210592054826
h01,centre_r,11,0.7451863392292345,0.007864844457169062,0.7169063133263402,0.7530511836864036,0.679240640701086,0.7537523769775113
h01,centre_t,11,-0.0005797870994148635,0.0015580063848505965,-0.003579331016460685,0.003492725715440792,-0.02084361887358599,0.003960007339435689
h01,diameter_over_dial,11,0.1559284669705175,0.0026500472994094304,0.14954738664631262,0.16045610541651273,0.12296586870362108,0.16173342678979874
h01,inner_r,11,0.6645204552254476,0.008128214999621353,0.6371137560971112,0.6726486702250689,0.6213805573812279,0.6727161676201028
h01,inner_t,11,-0.005410803988042778,0.0057008711919543376,-0.025588098005013243,0.00027345124844463387,-0.02649039334193204,0.0022588650352176054
h01,outer_r,11,0.8245722581811299,0.009059443543570467,0.7965068985863404,0.8336317017247004,0.7439661695950994,0.8361723481969761
h01,outer_t,11,-0.00319135586603847,0.0067862046248366725,-0.011645010487655705,0.004150651525632071,-0.03282796392678369,0.005374583187895521
h01,radial_span,11,0.16048580520715755,0.004079637041276174,0.15562605888430864,0.16595065929875974,0.12258561221387154,0.1666224625756243
h01,segmentation_confidence,11,0.8961791632686121,0.014966122193464826,0.8708897318001575,0.913174614448353,0.8626208359389922,0.9251197980370844
h02,angular_residual_deg,11,0.5015938618104414,0.1369072889355163,-0.4586818650343343,0.7198927177932148,-0.4798262346290585,1.9848149025787158
h02,anisotropy,11,1.891502851442259,0.31770882875128503,1.1640193265602623,2.3147585217211097,1.1393075442155454,3.4572010379772244
h02,area_norm,11,0.022268990258774747,0.0023264533684452977,0.014088805048870372,0.02469855843040473,0.008020233896777753,0.026672312529049176
h02,centre_r,11,0.735350261854159,0.013126072596991722,0.7121147159291448,0.7504453044187092,0.6755217144977717,0.7609731261275392
h02,centre_t,11,0.006437663584858894,0.00197225712055063,-0.005373617911196588,0.00891571715269357,-0.0061617339735401955,0.02637184238200807
h02,diameter_over_dial,11,0.16838574470184267,0.00894778650853878,0.1337581346507717,0.17733353121038145,0.10105285228731956,0.18428305147658194
h02,inner_r,11,0.6214666093084414,0.00024404754076068347,0.6212225617676808,0.6684640506005348,0.6211722607857784,0.6741242192718406
h02,inner_t,11,0.03301142712942218,0.01431708987178655,0.00247153247144144,0.04732851700120873,-0.05193805364990389,0.050023196681473925
h02,outer_r,11,0.8277591468178565,0.016466676752236675,0.7990580603140964,0.8500757440512882,0.7466259320312836,0.8549482291415054
h02,outer_t,11,0.018430975669904176,0.024867033467787042,-0.0070772387490575794,0.05423476038834549,-0.035365647534574884,0.056239928633593506
h02,radial_span,11,0.19006990829793902,0.022016544326406706,0.15682424523270616,0.21495769384666064,0.12545367124550516,0.23370362351025642
h02,segmentation_confidence,11,0.6718022835852816,0.10795880368957433,0.5089401591282517,0.8867476562860169,0.3948238300090273,0.9189773945168872
