source_id,physical_watch_id,local_path,width,height,dhash,possible_duplicate_of,blur_laplacian_var,small_image_warning,tilt_deg,pose_accepted,failure_stage,failure_category,failure_detail,dial_radius_px,n_round_segmented,round_hours_contributing,corridor_suppressed_reason,triangle_segmented,triangle_suppressed_reason,triangle_confidence,triangle_solidity,triangle_axis_agreement_deg,projective_correspondences_available,projective_suppressed_reason,projective_fit_a,projective_fit_c,projective_fit_max_abs_residual_canon,projective_fit_condition_ok,apex_r_simple,centre_r_simple,base_r_simple,apex_to_base_span_simple,base_to_minute_track_gap_simple,centre_to_minute_track_gap_simple,triangle_height_over_minute_track_r,base_width_over_height,base_half_width_symmetry,centroid_position_within_span,centroid_tangential_offset_canonical,centroid_angular_offset_deg,symmetry_axis_angular_deviation_deg,base_line_angular_deviation_deg,apex_r_projective,centre_r_projective,base_r_projective,apex_to_base_span_projective,base_to_minute_track_gap_projective,centre_to_minute_track_gap_projective,apex_r_projective_over_round_inner,centre_r_projective_over_round_centre,base_r_projective_over_round_outer,projective_unavailable_reason,projective_unavailable_category
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_02.jpg,1350,1800,4bd3b7b3b7ce9216,,2004.2,False,8.61520267492932,True,,,,137.96092224121097,5,"2,4,5,7,11",,True,,0.5,0.9792429792429792,82.70594174223203,True,,0.5155630734907566,-0.6314478432886483,0.0026713717352160327,True,0.6666765875041857,0.7469404875228318,0.7873069248048836,0.12063033730069794,0.10369307519511639,0.1440595124771682,0.13592223415404026,1.2043194964829838,2.854510020953265e-16,0.6653707667132731,-0.08969492820552268,-6.847466977090795,-5.083580519820547,6.976488859139067,0.7118547580712518,0.7566122364692409,0.7774286572735333,0.06557389920228152,0.11357134272646674,0.1343877635307591,1.0453080147889158,1.0074730179350744,0.9469289369957775,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_03.jpg,1350,1800,57e1cb0d87697358,,144.7,False,39.172563356860095,False,pose,image too oblique,tilt=39.2 deg; automatic_accepted/final gates rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_04.jpg,1350,1800,56a5845142d1e83a,,81.8,False,,False,pose,pose acquisition failure (no dial ellipse found),Minute-track-first acquisition unavailable: minor ticks could not establish a dial ellipse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_05.jpg,1350,1800,6575b5a24276063d,,60.8,False,,False,pose,pose acquisition failure (no dial ellipse found),Minute-track-first acquisition unavailable: minor ticks could not establish a dial ellipse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_06.jpg,1350,1800,65f5970d72764e3d,,26.9,False,,False,pose,pose acquisition failure (no dial ellipse found),Minute-track-first acquisition unavailable: minor ticks could not establish a dial ellipse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_07.jpg,1350,1800,2bab8e6302e2f337,,28.9,False,48.645894565595384,False,pose,image too oblique,tilt=48.6 deg; automatic_accepted/final gates rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_08.jpg,1350,1800,56d23234d97302ca,,38.1,False,,False,pose,pose acquisition failure (no dial ellipse found),Minute-track-first acquisition unavailable: minor ticks could not establish a dial ellipse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen/calibration/gen_wex_e99gXKb/image_09.jpg,1350,1800,5243e5cb65d1e174,,63.8,False,43.509283031178256,False,pose,image too oblique,tilt=43.5 deg; automatic_accepted/final gates rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_U2XNblj,gen_wex_U2XNblj,gen/calibration/gen_wex_U2XNblj/image_00.jpg,1350,1800,0135a4acab04b677,,376.3,False,,False,pose,pose acquisition failure (no dial ellipse found),Minute-track-first acquisition unavailable: minor ticks could not establish a dial ellipse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_EZKpLku,gen_wex_EZKpLku,,,,,,,,,,fetch,acquisition/fetch failure,source produced zero resolved images this run (gallery-dl failure or empty album after size-filtering),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen_wex_I9FxPLn,gen_wex_I9FxPLn,,,,,,,,,,fetch,acquisition/fetch failure,source produced zero resolved images this run (gallery-dl failure or empty album after size-filtering),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
