source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,67.50,16,3.955,1.0270
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,75.00,14,1.986,1.0183
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,82.50,18,1.906,1.0176
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,90.00,11,0.537,1.0121
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,97.50,14,0.810,1.0126
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,105.00,12,0.184,1.0108
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,112.50,22,1.746,1.0173
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,120.00,19,0.889,1.0114
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,127.50,20,0.054,1.0098
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,135.00,26,0.834,1.0134
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,142.50,28,1.396,1.0154
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,150.00,32,0.471,1.0099
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,157.50,25,1.897,1.0169
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,165.00,9,6.019,1.0350
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,172.50,10,3.875,1.0233
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,180.00,10,6.555,1.0380
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-172.50,14,2.829,1.0217
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-165.00,14,4.086,1.0270
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-157.50,12,5.367,1.0328
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-150.00,16,4.605,1.0297
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-142.50,18,4.927,1.0311
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-135.00,28,3.102,1.0229
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-127.50,25,3.378,1.0246
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-120.00,22,3.922,1.0270
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-112.50,15,3.363,1.0243
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-105.00,22,3.039,1.0232
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-97.50,17,1.931,1.0180
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-90.00,22,2.931,1.0222
