source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,n_ticks,pose_fitted,pose_theta_deg,pose_phi_deg,pose_psi_deg,pose_k,pose_scale,pose_score_px,amb_n_near_best,amb_n_total_candidates,amb_margin_px,amb_best_score_px,amb_worst_near_best_score_px,amb_max_marker_disagreement_px,amb_mean_marker_disagreement_px,amb_theta_lo,amb_theta_hi,amb_phi_lo,amb_phi_hi,amb_k_lo,amb_k_hi,marker_1_poselib_measured,marker_1_poselib_radial_pct_r,marker_1_poselib_angular_deg,marker_1_poselib_area_norm,marker_1_poselib_anisotropy,marker_2_poselib_measured,marker_2_poselib_radial_pct_r,marker_2_poselib_angular_deg,marker_2_poselib_area_norm,marker_2_poselib_anisotropy,marker_4_poselib_measured,marker_4_poselib_radial_pct_r,marker_4_poselib_angular_deg,marker_4_poselib_area_norm,marker_4_poselib_anisotropy,marker_5_poselib_measured,marker_5_poselib_radial_pct_r,marker_5_poselib_angular_deg,marker_5_poselib_area_norm,marker_5_poselib_anisotropy,marker_6_poselib_measured,marker_6_poselib_radial_pct_r,marker_6_poselib_angular_deg,marker_6_poselib_area_norm,marker_6_poselib_anisotropy,marker_7_poselib_measured,marker_7_poselib_radial_pct_r,marker_7_poselib_angular_deg,marker_7_poselib_area_norm,marker_7_poselib_anisotropy,marker_8_poselib_measured,marker_8_poselib_radial_pct_r,marker_8_poselib_angular_deg,marker_8_poselib_area_norm,marker_8_poselib_anisotropy,marker_9_poselib_measured,marker_9_poselib_radial_pct_r,marker_9_poselib_angular_deg,marker_9_poselib_area_norm,marker_9_poselib_anisotropy,marker_10_poselib_measured,marker_10_poselib_radial_pct_r,marker_10_poselib_angular_deg,marker_10_poselib_area_norm,marker_10_poselib_anisotropy,marker_11_poselib_measured,marker_11_poselib_radial_pct_r,marker_11_poselib_angular_deg,marker_11_poselib_area_norm,marker_11_poselib_anisotropy,marker_12_poselib_measured,marker_12_poselib_radial_pct_r,marker_12_poselib_angular_deg,marker_12_poselib_area_norm,marker_12_poselib_anisotropy
rep_cf_bpdi5xV,rep_cf_bpdi5xV,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_bpdi5xV/image_08.jpg,5.024227618566932,48,1,4.2955,75.1737,0.6141,0.06733,159.3989,0.16561,8,8,0.24842,0.16561,0.28289,0.43692,0.16326,1.51969,4.79644,49.77451,277.73313,0.00000,0.22892,1,0.633672,2.70861,0.0161074,8.72595,1,1.74234,2.98748,0.00992125,3.78531,1,-3.3258,1.92012,0.013722,4.18027,1,1.19043,3.32576,0.00827485,4.41506,0,,,,,1,-1.87118,4.28303,0.00901958,37.3437,0,,,,,0,,,,,1,2.75662,0.445926,0.00992696,1.94029,1,2.12232,3.32388,0.00856875,4.76002,1,3.37161,4.22577,0.0121726,2.66986
rep_cf_bpdi5xV,rep_cf_bpdi5xV,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_bpdi5xV/image_09.jpg,6.7883818716731446,48,1,4.5925,61.2293,0.2199,0.05551,156.6556,0.30133,8,8,0.45200,0.30133,0.37671,0.38837,0.17058,3.12957,5.19968,48.22938,245.28474,0.00000,0.10402,1,2.14735,0.0939982,0.0184757,1.17943,1,2.82242,0.0207677,0.0196342,1.26248,1,1.52993,0.481407,0.016213,1.06698,1,2.0209,0.690991,0.0160503,1.15274,1,1.6089,0.21736,0.0195486,7.17464,1,1.57899,0.235519,0.0201764,1.59524,1,1.8168,0.580113,0.0197398,1.58782,1,-0.423766,0.820993,0.0161245,6.33868,1,2.17418,0.355109,0.0191919,1.11848,1,2.54878,0.181706,0.0188552,1.18003,1,1.52817,0.0513229,0.0309051,2.08379
rep_cf_QsJT2wk,rep_cf_QsJT2wk,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_QsJT2wk/image_01.jpg,11.841418387512286,44,1,12.0413,312.6472,3.1003,0.00017,261.5096,0.72180,8,8,1.08270,0.72180,0.81632,0.62972,0.21662,11.05396,12.04133,129.16255,312.65167,0.00000,0.00034,0,,,,,0,,,,,0,,,,,1,-7.37497,-0.206358,0.0108971,1.71708,1,-3.03739,-1.08348,0.017323,4.51465,1,-5.62963,-1.7033,0.015434,1.69559,1,-5.56064,-2.45062,0.0128488,2.28921,1,-3.77841,-4.59707,0.00820066,17.7815,1,-7.31811,-3.05199,0.00866291,2.07839,1,-7.78451,-2.92535,0.00817498,1.56776,0,,,,
rep_cf_QsJT2wk,rep_cf_QsJT2wk,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_QsJT2wk/image_02.jpg,11.03322185456376,42,1,10.9348,301.2966,-2.0621,0.00097,133.6122,0.33894,8,8,0.50841,0.33894,0.43240,0.69011,0.16341,8.38840,10.94544,116.60522,301.29655,0.00000,0.00457,1,-1.03179,-0.463133,0.0180962,1.3133,1,-2.09716,-0.654015,0.0179735,1.28622,1,-3.64725,0.00864651,0.0196371,1.25329,1,-2.41222,0.625667,0.0204389,1.34717,1,-0.192478,1.79941,0.0242139,7.32621,1,-0.11765,0.823758,0.020767,1.74694,1,0.00360406,0.487683,0.0209496,1.39025,1,-0.00169764,0.857428,0.0301575,4.49731,1,-0.777247,0.178718,0.019229,1.05354,1,-0.259159,0.465994,0.0188495,1.28232,1,-1.72264,-0.41095,0.0263739,2.22502
rep_cf_QsJT2wk,rep_cf_QsJT2wk,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_QsJT2wk/image_03.jpg,12.618340042428988,39,1,11.8469,112.7314,-0.5590,0.00157,128.9951,0.25430,8,8,0.38145,0.25430,0.35147,0.46666,0.11163,10.63780,11.84688,110.71505,293.22462,0.00000,0.00157,1,0.743036,0.0960625,0.0197483,1.21246,1,-0.0509656,-0.171968,0.0192148,1.25716,1,-1.10667,0.033986,0.0204503,1.21764,1,0.163839,0.647388,0.020085,1.57775,1,0.336563,0.952203,0.0251184,6.52847,1,0.825161,0.0867544,0.0225675,1.49444,1,0.0986284,-0.0226286,0.0216173,1.45207,1,0.198034,0.311938,0.0297752,4.8725,1,0.2372,0.851037,0.0213491,1.98021,1,-0.384584,0.463422,0.0194915,1.29712,1,0.326684,0.383499,0.030654,2.29603
rep_cf_QsJT2wk,rep_cf_QsJT2wk,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_QsJT2wk/image_04.jpg,12.682462029296445,40,1,12.0476,108.7269,-0.0005,0.00000,132.9670,0.39047,8,8,0.58570,0.39047,0.44163,0.40671,0.16325,12.04746,13.47626,107.61503,291.05221,0.00000,0.00313,1,-6.33965,-3.69807,0.00853736,6.76405,0,,,,,0,,,,,0,,,,,0,,,,,1,1.02055,1.24039,0.0177852,2.28282,0,,,,,0,,,,,1,-0.130827,2.39482,0.0156823,4.57288,0,,,,,0,,,,
rep_cf_QsJT2wk,rep_cf_QsJT2wk,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_QsJT2wk/image_06.jpg,45.71148495644719,35,1,45.5556,93.9087,2.7526,0.00023,243.6016,0.95983,8,8,1.43974,0.95983,1.11392,2.32512,0.56934,45.47669,45.64940,92.75883,273.97458,0.00000,0.00027,1,5.32752,-0.0241579,0.0223849,1.05625,1,6.30509,-0.356333,0.0168265,1.39532,0,,,,,1,2.7825,-0.859517,0.0100268,15.24,1,-0.00240666,-0.448046,0.0104577,2.57188,0,,,,,1,-5.26872,2.17002,0.0156566,3.27861,0,,,,,1,7.99492,0.216003,0.0144239,2.33237,1,6.0537,0.0655893,0.020222,1.1914,1,4.45949,0.0907765,0.0252126,2.33623
rep_cf_f71234_Sw2D1Bt,rep_cf_f71234_Sw2D1Bt,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_f71234_Sw2D1Bt/image_01.jpg,5.6154871834164215,48,1,3.0614,52.6705,1.3529,0.09044,222.0286,0.33296,8,8,0.49944,0.33296,0.48829,0.79644,0.23782,0.91005,3.06139,35.09279,205.36841,0.00000,0.37508,1,0.513506,-0.245534,0.0214062,1.28511,1,-0.163934,-0.217984,0.0208583,1.27446,1,-0.735103,0.181845,0.0196799,1.27105,1,-0.583551,0.0589435,0.0190179,1.21363,1,0.0807363,-0.314749,0.0304086,4.56144,1,-0.236328,0.0250992,0.0197626,1.1393,1,-0.112302,-2.88011,0.00810935,2.8771,1,2.18557,-2.13327,0.0136164,18.5688,1,0.747242,-0.115337,0.0215175,1.21802,1,0.948203,-0.206648,0.021389,1.21593,1,-0.184868,-0.067074,0.0358586,2.05211
rep_cf_f71234_Sw2D1Bt,rep_cf_f71234_Sw2D1Bt,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_f71234_Sw2D1Bt/image_02.jpg,6.220537725810149,48,1,4.3523,71.6333,1.1760,0.05049,218.6698,0.39287,8,8,0.58930,0.39287,0.50732,0.60644,0.23050,0.99696,5.32003,0.01949,246.85044,0.00000,0.05082,1,0.39196,-0.222616,0.0211693,1.2454,1,-0.249359,-0.180855,0.0211808,1.25118,1,-0.587059,0.153955,0.0198939,1.27843,1,-0.42935,0.164215,0.0191149,1.27385,1,0.102635,-0.281758,0.0306141,4.74573,1,-0.0511355,-0.0709833,0.019132,1.14626,1,0.655889,1.7917,0.010295,2.93725,1,2.05536,1.86021,0.014033,18.4441,1,0.381654,-0.13381,0.0213462,1.22195,1,0.58697,-0.196312,0.0211779,1.19561,1,-0.518981,0.0153445,0.0363037,2.08705
rep_arf_m304y61,rep_arf_m304y61,rep,rep_labelled,calibration,ARF,rep/calibration/rep_arf_m304y61/image_01.jpg,3.9127745498026263,48,1,0.7141,218.6863,-0.2102,0.32486,279.1856,0.36226,8,8,0.54340,0.36226,0.64665,1.07597,0.29363,0.71413,5.27343,135.23046,332.69375,0.00000,0.32486,1,-0.706026,-0.11559,0.0146693,1.08849,1,-0.159629,0.0509595,0.0150374,1.0589,1,0.456053,0.330707,0.015785,1.02887,1,0.730364,0.342725,0.0169492,1.37888,1,0.830257,0.0984272,0.0203504,8.49165,1,0.995989,0.0250667,0.0159847,1.09297,1,0.681862,-0.0809866,0.0181504,1.39701,1,0.798506,-0.320577,0.0205045,8.38598,0,,,,,1,-0.346704,-0.298909,0.015006,1.18779,1,-0.586124,0.0349216,0.026665,1.97677
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,rep,rep_labelled,calibration,C+ Factory,rep/calibration/rep_cplus_wEYZOyK/image_00.jpg,6.207082200907819,44,1,1.8065,341.5371,-1.6008,0.15575,174.0717,1.31506,8,8,1.97259,1.31506,1.42705,0.77901,0.15512,0.57174,2.46453,0.00303,345.28715,0.13246,0.50911,1,-7.94025,0.563783,0.0124094,1.68191,0,,,,,1,-7.51809,1.93552,0.0109171,1.18709,0,,,,,1,-3.98383,2.89168,0.0128631,5.65606,1,-7.36584,2.11397,0.010783,1.25929,1,-7.24303,1.8447,0.0112681,1.14534,1,-3.44507,1.44477,0.0136849,6.7608,1,-7.42641,0.798729,0.0116932,1.15697,1,-7.96956,0.539635,0.01199,1.45746,0,,,,
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,rep,rep_labelled,calibration,C+ Factory,rep/calibration/rep_cplus_wEYZOyK/image_02.jpg,5.806008392913971,47,1,2.6482,313.1698,-1.4119,0.32455,175.7235,1.06390,8,8,1.59586,1.06390,1.13767,1.01135,0.31684,1.72083,3.84214,256.47079,318.64634,0.16401,0.41667,0,,,,,0,,,,,1,-7.92625,1.49209,0.0109627,1.1102,0,,,,,1,-4.00741,2.28169,0.0128032,5.6245,1,-7.3544,1.90901,0.0110797,1.09266,1,-7.37705,1.6779,0.0114649,1.05852,1,-3.52351,1.45601,0.0135137,6.71332,1,-7.62192,0.903183,0.0114364,1.21205,0,,,,,0,,,,
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,rep,rep_labelled,calibration,C+ Factory,rep/calibration/rep_cplus_wEYZOyK/image_03.jpg,6.516768126929766,46,1,7.0883,112.4865,-0.2943,0.00752,184.3349,1.17236,8,8,1.75855,1.17236,1.25982,0.63900,0.22919,5.66017,7.86012,93.50824,293.26517,0.00000,0.00752,1,-7.9472,-1.41123,0.0110284,1.28277,0,,,,,0,,,,,0,,,,,1,-4.11939,1.37054,0.0128289,5.49734,0,,,,,1,-7.52456,0.25238,0.0114906,1.11469,1,-3.68661,-0.426563,0.0130771,6.66819,1,-7.68726,-1.06464,0.0112681,1.24745,0,,,,,0,,,,
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,rep,rep_labelled,calibration,C+ Factory,rep/calibration/rep_cplus_wEYZOyK/image_04.jpg,6.213528455705312,48,1,7.6256,269.9719,-2.7035,0.00378,158.1272,0.39776,8,8,0.59665,0.39776,0.45425,0.98674,0.19579,2.77416,8.10736,86.54484,298.59998,0.00000,0.15904,0,,,,,1,3.07511,-1.54871,0.00865435,7.13074,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,rep,rep_labelled,calibration,C+ Factory,rep/calibration/rep_cplus_wEYZOyK/image_05.jpg,7.747133216785896,48,1,7.3728,124.9234,-2.3186,0.00028,162.4613,0.42245,8,8,0.63367,0.42245,0.50570,0.45662,0.08093,7.37279,9.39928,124.92336,310.65485,0.00000,0.00028,0,,,,,0,,,,,1,3.44014,-1.18186,0.0138361,7.0768,0,,,,,0,,,,,0,,,,,0,,,,,1,3.59109,3.70005,0.010295,11.2824,0,,,,,0,,,,,0,,,,
