source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,n_ticks,n_boundary,reproj_error_px,inlier_fraction,homography_fitted,marker_1_baseline_measured,marker_1_baseline_radial_pct_r,marker_1_baseline_angular_deg,marker_1_new_measured,marker_1_new_radial_pct_r,marker_1_new_angular_deg,marker_1_new_area_norm,marker_1_new_anisotropy,marker_2_baseline_measured,marker_2_baseline_radial_pct_r,marker_2_baseline_angular_deg,marker_2_new_measured,marker_2_new_radial_pct_r,marker_2_new_angular_deg,marker_2_new_area_norm,marker_2_new_anisotropy,marker_4_baseline_measured,marker_4_baseline_radial_pct_r,marker_4_baseline_angular_deg,marker_4_new_measured,marker_4_new_radial_pct_r,marker_4_new_angular_deg,marker_4_new_area_norm,marker_4_new_anisotropy,marker_5_baseline_measured,marker_5_baseline_radial_pct_r,marker_5_baseline_angular_deg,marker_5_new_measured,marker_5_new_radial_pct_r,marker_5_new_angular_deg,marker_5_new_area_norm,marker_5_new_anisotropy,marker_6_baseline_measured,marker_6_baseline_radial_pct_r,marker_6_baseline_angular_deg,marker_6_new_measured,marker_6_new_radial_pct_r,marker_6_new_angular_deg,marker_6_new_area_norm,marker_6_new_anisotropy,marker_7_baseline_measured,marker_7_baseline_radial_pct_r,marker_7_baseline_angular_deg,marker_7_new_measured,marker_7_new_radial_pct_r,marker_7_new_angular_deg,marker_7_new_area_norm,marker_7_new_anisotropy,marker_8_baseline_measured,marker_8_baseline_radial_pct_r,marker_8_baseline_angular_deg,marker_8_new_measured,marker_8_new_radial_pct_r,marker_8_new_angular_deg,marker_8_new_area_norm,marker_8_new_anisotropy,marker_9_baseline_measured,marker_9_baseline_radial_pct_r,marker_9_baseline_angular_deg,marker_9_new_measured,marker_9_new_radial_pct_r,marker_9_new_angular_deg,marker_9_new_area_norm,marker_9_new_anisotropy,marker_10_baseline_measured,marker_10_baseline_radial_pct_r,marker_10_baseline_angular_deg,marker_10_new_measured,marker_10_new_radial_pct_r,marker_10_new_angular_deg,marker_10_new_area_norm,marker_10_new_anisotropy,marker_11_baseline_measured,marker_11_baseline_radial_pct_r,marker_11_baseline_angular_deg,marker_11_new_measured,marker_11_new_radial_pct_r,marker_11_new_angular_deg,marker_11_new_area_norm,marker_11_new_anisotropy,marker_12_baseline_measured,marker_12_baseline_radial_pct_r,marker_12_baseline_angular_deg,marker_12_new_measured,marker_12_new_radial_pct_r,marker_12_new_angular_deg,marker_12_new_area_norm,marker_12_new_anisotropy
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_KfRKFwA/image_08.jpg,5.385567141899849,44,48,0.489892,0.543478,1,False,,,0,,,,,False,,,0,,,,,False,,,1,-3.45828,4.26327,0.00818639,22.8225,False,,,0,,,,,False,,,0,,,,,False,,,1,-3.27601,4.22892,0.00852024,23.3516,False,,,0,,,,,False,,,0,,,,,True,-0.46368046463519663,3.3441189761020382,1,-0.452449,3.28062,0.0117845,10.3307,False,,,0,,,,,False,,,0,,,,
rep_cf_xK08a3L,rep_cf_xK08a3L,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_xK08a3L/image_01.jpg,3.8948607669448703,48,41,0.328923,0.516854,1,True,0.23824486586826454,0.18787695980416075,1,0.533312,0.000827022,0.0205359,1.18884,True,-0.13596630003214205,0.5198661982308366,1,0.149659,0.168984,0.0204674,1.13339,True,-0.004287101845423802,0.5879842236906114,1,0.0723216,0.173689,0.0210951,1.20975,True,0.7200360966352126,0.3530519641898593,1,0.699694,0.0159257,0.0200137,1.13839,True,0.4360585240682058,0.4557906155592377,1,0.22274,0.166225,0.0235491,6.55015,True,1.0129150605871273,0.14243914038837602,1,0.80652,0.0537459,0.0189694,1.21277,False,,,0,,,,,True,0.919999339729638,-0.6930776439730835,1,0.994014,-0.308749,0.0200651,8.35031,True,0.09525564955272792,0.006859437911430177,1,0.0257989,0.0063509,0.0198511,1.20196,True,0.1634145341087634,-0.30473586023668986,1,0.502706,-0.192991,0.0197512,1.31252,True,-0.541526368820755,0.5883881401120257,1,-0.155688,0.448258,0.0298408,2.14374
rep_cf_xK08a3L,rep_cf_xK08a3L,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_xK08a3L/image_02.jpg,12.182459523324303,42,44,0.669924,0.372093,1,True,0.8005770047387784,2.912953862779176,1,0.877369,2.99644,0.0106061,3.81705,True,-0.5876440944959316,3.3505911948994296,1,-0.0900112,3.26577,0.0094961,4.39597,True,-2.9438640571723185,3.5632963768571813,1,-2.3784,3.06283,0.0104177,3.38412,False,,,0,,,,,False,,,1,-2.17489,4.24509,0.0110512,20.4044,True,-2.3057777814762925,3.0247407103337594,1,-2.71093,3.11874,0.00946186,3.07722,True,-2.5685738808024716,2.0626054939463074,1,-2.75228,2.13519,0.011074,2.21817,True,-0.6764477683420478,3.8485380539901257,1,-0.753079,4.02824,0.0132854,22.6169,True,0.1337713153908182,2.635645130956334,1,0.0725753,2.80855,0.0116961,3.46954,True,1.2477157714253728,2.8622110686611677,1,1.09501,2.98789,0.0105775,3.80959,True,-0.5205644767819484,3.9596189581570913,1,-0.404018,4.03291,0.0232181,7.86367
rep_cf_xK08a3L,rep_cf_xK08a3L,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_xK08a3L/image_03.jpg,8.473108956849714,47,27,0.631352,0.445946,1,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,7.972327518674316,0.028006819081383583,1,7.67091,0.0230136,0.0154597,2.02081,True,-5.605851156242214,-2.784466146092768,1,-5.7682,-2.67363,0.00980141,3.95647,False,,,1,7.65943,-0.107515,0.0153199,1.88947,True,7.66739740428134,-0.08295210813628273,1,7.33102,-0.0966524,0.0161588,1.6364,True,-5.2827686175976,-3.335864287954678,1,-5.49861,-3.25009,0.0108686,3.4442,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,
rep_cf_6I00d8w,rep_cf_6I00d8w,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_6I00d8w/image_00.jpg,4.189183161115509,48,47,0.546859,0.6,1,True,-1.1487536748560512,0.610460277701339,1,-1.17788,0.402392,0.0145095,1.03053,True,-1.0974665630809732,0.29326325480855076,1,-0.987983,0.144417,0.0145495,1.04837,True,-0.126406510420618,0.13671458677441706,1,0.135153,0.168629,0.0149604,1.0227,True,0.23849260665451677,1.584214878026387,1,0.535215,1.62898,0.00897393,1.48311,True,0.3985875948441908,-0.2797638506155522,1,0.501334,-0.129853,0.0198682,10.022,True,-0.6721119059979741,-0.6790092676733934,1,-0.80364,-0.581132,0.0147121,1.08072,True,-0.7490383963694502,-0.5191909424952428,1,-0.600819,-0.209958,0.0147064,1.03862,True,0.38918533970697666,-0.5703430192312453,1,0.388308,-0.319906,0.0197312,9.74512,True,-1.2046963986805492,-0.6291148527503196,1,-0.981321,-0.565939,0.0144325,1.00765,True,-1.557530712499433,-0.31381237868163225,1,-1.37319,-0.453119,0.0144724,1.02636,True,-1.3416457836682882,0.22829445935370601,1,-1.30616,-0.0325294,0.0240199,2.09368
rep_cf_6I00d8w,rep_cf_6I00d8w,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_6I00d8w/image_01.jpg,5.7247780587732375,38,48,0.514472,0.616279,1,False,,,0,,,,,True,0.5102744216422983,0.0951437639639039,1,0.537399,0.0205812,0.0153827,1.02867,True,1.5485417894595455,0.21446600208980726,1,1.51946,0.252684,0.0155881,1.01343,True,1.8389732816613935,1.717352224610181,1,1.79522,1.86147,0.00905097,1.63439,True,0.9290071626366303,-0.2908310647424628,1,0.999027,-0.0294348,0.0192461,8.75436,True,1.0617525860184385,-0.8776375327216783,1,0.591502,-0.621626,0.0149946,1.08894,True,0.755381740971317,-0.7843334601684546,1,0.880539,-0.419912,0.0150174,1.04153,True,0.9977358162774563,-1.124500053083807,1,1.09368,-0.66131,0.0194602,8.46208,True,0.12779757648171408,-0.9971628069553731,1,0.440225,-0.827572,0.0146693,1.07074,True,-0.21540372634185623,-0.8036391682135786,1,0.0606382,-0.7196,0.0149375,1.06309,True,-0.04362606043402106,-0.2861297923893744,1,0.206552,-0.293595,0.0253952,2.11086
rep_cf_6I00d8w,rep_cf_6I00d8w,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_6I00d8w/image_02.jpg,6.091612223674417,40,47,0.489397,0.712644,1,True,0.5344649788394107,-0.537222250411503,1,0.587864,-0.241734,0.0143183,1.23759,True,0.18704190650922214,-0.3425596545471876,1,0.272782,-0.130419,0.015357,1.03634,True,0.4079331953355414,0.012781831962342949,1,0.452293,-0.018631,0.017089,1.17215,True,1.0248088025421431,2.1017161355514986,1,1.34165,1.86497,0.0090367,1.62383,True,0.5465399649648872,0.4859205589357316,1,0.808412,0.137202,0.0197284,9.03472,True,0.8882145850643619,1.758359030930336,1,0.488123,1.57873,0.00864579,3.27028,True,0.9888950117706741,-0.08138998386812091,1,0.943961,-0.0297687,0.0152343,1.03525,True,1.286238955861585,-0.4475516835691451,1,1.16834,-0.184126,0.0193346,8.37249,True,0.8994396503906876,-0.8499458233266068,1,1.01059,-0.565899,0.0150773,1.03501,True,0.5407867708592917,-0.8457331967748587,1,0.662067,-0.575711,0.01522,1.03962,True,0.5282562664688961,-0.7799619177549744,1,0.650254,-0.306695,0.0255835,2.1158
rep_cf_6I00d8w,rep_cf_6I00d8w,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_6I00d8w/image_03.jpg,12.375454348539714,36,48,0.683843,0.714286,1,True,-5.841084678366459,-0.9655368320401294,1,-5.78668,-0.928494,0.0139731,1.34552,False,,,0,,,,,False,,,1,-1.05575,2.13892,0.00832906,1.73477,True,-2.717298881444452,0.2612952529849224,1,-2.62265,0.799983,0.0167723,6.49573,False,,,0,,,,,True,0.10609275731437995,-0.3332822058990814,1,0.0757034,-0.175321,0.0166667,1.33618,True,-2.7822588418328187,0.3836740010862343,1,-2.70312,-0.135976,0.0169863,5.93417,False,,,0,,,,,True,0.3240875971832424,-0.01373102452475905,1,0.240678,-0.0067776,0.0161531,1.41336,True,-1.3099415895217792,-0.1846540725603063,1,-1.45596,-0.17135,0.0249701,2.1244,False,,,1,-2.05034,-1.42178,0.0147834,1.60728
rep_cf_sx6zSKZ,rep_cf_sx6zSKZ,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_sx6zSKZ/image_01.jpg,8.582326456116409,41,44,0.656969,0.564706,1,False,,,1,0.612936,-2.89019,0.00887691,2.59748,True,-3.9166042993612815,-1.422635121217354,1,-3.74633,-1.01444,0.015805,2.25722,False,,,0,,,,,False,,,1,-2.88493,-4.00948,0.00975861,19.5755,True,6.0739347887207025,-3.3737789927247377,1,6.1539,-3.21324,0.00887977,3.81916,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,-2.4099077543731418,-2.062514343543569,1,-3.22046,-2.64821,0.0103835,1.99707,True,-2.6908638371627824,-2.42680301455772,1,-3.3781,-2.35805,0.0148434,3.86754,True,0.8945037879926399,-3.771709087215527,1,0.232202,-3.44312,0.0133025,1.39261
rep_cf_bpdi5xV,rep_cf_bpdi5xV,rep,rep_labelled,calibration,Clean,rep/calibration/rep_cf_bpdi5xV/image_00.jpg,4.008311849056158,48,37,0.415032,0.529412,1,True,2.204096145955392,0.18051410656428502,1,2.15697,0.246835,0.0188952,1.19853,True,2.4474256866292565,-0.20988796173327273,1,2.50763,-0.113627,0.0203647,1.18254,True,1.1289939477672206,-0.08403551893417216,1,1.10719,0.170102,0.0183388,1.21895,True,0.9729801484733458,0.5921778116571659,1,1.48727,0.749508,0.0157564,1.13781,True,1.346956231416574,0.7363119423633862,1,1.42975,0.29616,0.0193489,7.68077,True,1.1159155279801602,0.582703268370409,1,0.821561,0.127977,0.017537,1.31855,True,1.7613066740121863,0.8177948257134915,1,1.69075,0.373411,0.0180163,1.42729,True,-0.18510931260737884,0.8755139989535223,1,-0.174943,0.346224,0.0148919,8.30483,True,1.7168183832496076,0.29654135664554815,1,1.71533,-0.0947069,0.0165069,1.02714,True,2.2636885458192646,0.3991291271815953,1,1.76144,0.247174,0.016718,1.06769,True,1.1005528935220554,0.08145285298513727,1,1.06224,0.211599,0.029604,2.19224
