source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,axis_ratio,dial_radius_px,hour,marker_shape,foreshortened_axis_deg,tilt_alignment_deg,expected_px_x,expected_px_y,detected_px_x,detected_px_y,px_dx,px_dy,px_dist,px_dist_pct_dial_radius,basis_local_radial,basis_local_tangential,radial_current_pct_r,angular_current_deg,area_norm,anisotropy,rotation_deg,jacobian_curvature_frac
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_02.jpg,20.7304,0.935256,352.789,9,baton,4,4,640.916,811.211,643.939,828.051,3.02297,16.8407,17.1099,4.84988,-0.00936993,-0.0462123,-0.779599,-3.90136,0.012964,17.2236,-3.35159,9.5103e-15
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799,0.997029,324.39,1,round,55,65,881.783,470.034,876.096,495.783,-5.68654,25.7494,26.3699,8.12907,-0.0784541,0.0212138,-7.81196,1.80665,0.0107955,1.26918,,5.33018e-15
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799,0.997029,324.39,6,baton,55,35,778.344,908.739,767.457,891.494,-10.887,-17.2452,20.3942,6.28695,-0.0546476,0.0312701,-5.3875,2.831,0.0125489,3.16132,1.22575,1.83787e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799,0.997029,324.39,9,baton,55,55,546.191,696.235,559.649,682.219,13.4579,-14.0161,19.4311,5.99003,-0.0432519,0.0413182,-4.19273,3.67242,0.0093083,5.62602,-10.3305,1.21879e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799,0.997029,324.39,11,round,55,5,638.285,481.005,658.786,498.125,20.5016,17.1204,26.71,8.23392,-0.0785909,0.0249281,-7.81289,2.12314,0.0100733,1.29321,,1.78931e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.74933,0.99786,458.268,1,round,101,19,861.089,539.753,833.448,565.41,-27.6408,25.6574,37.7136,8.22961,-0.0796081,-0.0209955,-7.92799,-1.79115,0.01059,1.19742,,2.09331e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.74933,0.99786,458.268,6,baton,101,11,664.659,1144.56,677.717,1122.02,13.0585,-22.5449,26.0538,5.68527,-0.0503606,-0.0264925,-4.98096,-2.38288,0.0123185,3.74992,-2.36613,1.42105e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.74933,0.99786,458.268,9,baton,101,79,362.27,817.515,382.754,827.987,20.4844,10.4726,23.0062,5.02026,-0.0455271,-0.0210425,-4.5182,-1.87882,0.0139541,3.55171,-2.07348,5.95395e-15
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.74933,0.99786,458.268,11,round,101,41,516.872,525.787,526.723,561.733,9.85125,35.9452,37.2707,8.13296,-0.0794702,-0.0175097,-7.9242,-1.49362,0.0113614,1.3251,,9.26289e-15
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,1,round,100,20,923.825,593.569,925.191,593.684,1.3663,0.114503,1.37109,0.444786,0.00197435,0.00396817,0.19848,0.301946,0.0182693,1.11315,,2.90999e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,2,round,100,50,1007.16,679.88,1006.46,680.767,-0.70155,0.887141,1.13101,0.366905,-0.00338359,0.00143852,-0.338221,0.110245,0.0186324,1.06828,,1.45748e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,4,round,100,70,1002.6,910.547,1001.3,909.728,-1.30704,-0.818666,1.54226,0.500316,-0.00498918,-8.72073e-05,-0.498918,-0.00669777,0.019569,1.0567,,1.15713e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,5,round,100,40,915.93,993.096,915.714,992.576,-0.216334,-0.520501,0.563668,0.182856,-0.00181972,-0.000204777,-0.18197,-0.0156609,0.0194795,1.23042,,1.51818e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,7,round,100,20,683.696,987.958,683.004,987.865,-0.691565,-0.0931329,0.697808,0.226372,0.00090132,0.00206771,0.0904163,0.157562,0.0183167,1.0586,,7.73524e-15
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,8,round,100,50,600.36,901.647,601.831,900.796,1.47026,-0.851083,1.69882,0.551105,-0.00550645,0.000141299,-0.550644,0.0108597,0.0187113,1.21293,,1.36912e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,9,baton,100,80,591.317,786.063,588.647,785.326,-2.67009,-0.73716,2.76998,0.898593,0.00867785,0.00220672,0.868135,0.181744,0.0261306,5.5173,-0.381527,2.11937e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,10,round,100,70,604.918,670.98,606.749,670.557,1.83037,-0.423313,1.87869,0.609453,-0.0043457,0.00425191,-0.433359,0.326274,0.0188955,1.05053,,1.92081e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,11,round,100,40,691.59,588.431,693.63,588.351,2.04014,-0.0795674,2.04169,0.662333,-0.00294325,0.00590954,-0.291991,0.452619,0.0188639,1.19204,,2.62611e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.87738,0.992805,308.258,12,triangle,100,10,808.245,563.782,809.786,566.31,1.54014,2.52756,2.95983,0.96018,-0.00811468,0.00513976,-0.809661,0.402911,0.0260411,1.96484,-0.985496,1.74361e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_01.jpg,12.0967,0.977795,292.93,6,baton,63,27,853.531,968.996,865.286,953.399,11.7551,-15.5966,19.5304,6.66727,-0.053445,-0.0391066,-5.22392,-3.53214,0.00832674,2.87088,2.0312,1.54357e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,1,round,97,23,844.2,654.171,838.939,651.461,-5.26087,-2.71026,5.91796,4.28959,-0.000382173,-0.0427241,0.0832742,-3.25768,0.0084589,4.43501,,4.83135e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,2,round,97,53,883.677,690.579,876.551,687.084,-7.1258,-3.49588,7.93714,5.75318,-0.0300606,-0.0487755,-2.84125,-3.87047,0.00964104,20.7663,,2.44297e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,4,round,97,67,887.409,793.549,887.45,787.676,0.0404995,-5.87302,5.87316,4.25712,-0.0198054,-0.0379547,-1.8821,-2.97143,0.0105868,4.30031,,2.36013e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,5,round,97,37,850.664,832.519,851.794,828.081,1.12919,-4.43808,4.57947,3.3194,-0.0231119,-0.0240749,-2.27139,-1.89437,0.0177322,4.05736,,1.78409e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,6,baton,97,7,798.785,839.289,802.429,845.28,3.64307,5.99103,7.01174,5.08241,0.044534,-0.0246801,4.49502,-1.93228,0.0139756,2.11551,5.85926,2.65125e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,7,round,97,23,746.543,836.019,750.31,836.69,3.76719,0.671646,3.82659,2.77368,-0.0084457,-0.0262583,-0.798157,-2.02526,0.0134239,2.31055,,2.52309e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,9,baton,97,83,700.123,748.296,691.949,753.428,-8.17343,5.13223,9.65115,6.99557,0.060221,-0.035385,6.10583,-2.71124,0.0093258,3.05748,2.23721,3.15386e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,10,round,97,67,703.333,696.641,700.832,701.889,-2.50122,5.24824,5.81379,4.21408,-0.00201796,-0.0422733,-0.0825937,-3.23041,0.00843263,4.19218,,2.36013e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,11,round,97,37,740.078,657.67,735.884,658.494,-4.19403,0.823337,4.27408,3.09804,0.0109094,-0.0288373,1.14549,-2.16754,0.0132137,3.7366,,2.70081e-14
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.6152,0.988717,137.961,12,triangle,97,7,791.699,643.771,783.839,642.821,-7.85984,-0.949844,7.91703,5.7386,0.0088435,-0.0563738,1.09653,-4.3109,0.012268,2.65947,-0.263896,2.86753e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.9847,0.981678,194.408,2,round,9,39,508.74,467.372,502.087,469.797,-6.65291,2.42462,7.08096,3.64232,-0.0361954,-0.00530888,-3.61757,-0.42553,0.00986916,3.39246,,2.32587e-14
