source_class,feature,n,median,mad,p10,p90,min,max
auction_house,date_dx_window,8,0.047544950973372975,0.05216429194421774,-0.010010090670900874,0.10355981948077993,-0.012800985552707273,0.10520610213922438
auction_house,date_dy_window,8,-0.02596488171876507,0.04139149497958691,-0.0997220691050594,0.014883193916129026,-0.1257017291115876,0.01678516162255388
auction_house,date_offset_norm,8,0.09392203719068201,0.011038232543911716,0.05933998088145109,0.11210340297521,0.02804854112535543,0.12601213183666568
auction_house,date_window_h_px,8,37.75,3.75,34.4,53.3,33.0,61.0
auction_house,date_window_w_px,8,50.75,7.25,44.9,78.7,40.0,88.5
auction_house,dial_radius_px,8,216.02176959991448,34.798236904144275,173.60718295478813,259.6901266365049,166.50758880615223,280.6090307617185
auction_house,h01.angular_residual_deg,8,-0.06422915581325128,0.12035734926091379,-0.2272614608033649,0.3196792590949886,-0.2753056813747321,0.3919322446342264
auction_house,h01.anisotropy,8,1.1752401515401087,0.0495145045561155,1.1322843686469184,1.4414929078724807,1.1054677912729327,1.6023862621428568
auction_house,h01.area_norm,8,0.01868792831177324,0.0012878228206015373,0.014098560738068035,0.020348471239994177,0.013541371771175315,0.020544210592054826
auction_house,h01.centre_r,8,0.732032941580437,0.02014729814988353,0.6767369781435353,0.7528912874909908,0.672724366547959,0.7537523769775113
auction_house,h01.centre_t,8,-0.0008262312482559819,0.0015986992031289254,-0.002868106119658434,0.00383722622193523,-0.0032321964223512856,0.00464106073708892
auction_house,h01.diameter_over_dial,8,0.1542143264614691,0.005275947395419103,0.13396796053793228,0.16095826867938906,0.13130167739874055,0.16173342678979874
auction_house,h01.inner_r,8,0.6530488101421852,0.017682772950305015,0.6213832410311935,0.6716838843867657,0.6211269810682098,0.6727161676201028
auction_house,h01.inner_t,8,-0.012435363471843236,0.008746563134582913,-0.020695895946038,0.006323323000947641,-0.02239700325739652,0.020735156684307032
auction_house,h01.outer_r,8,0.8105395783837351,0.022950713097499242,0.7404277553435464,0.8354103363732048,0.7345027007278495,0.8361723481969761
auction_house,h01.outer_t,8,-1.9212800407383823e-05,0.006203842354804062,-0.00824723223297394,0.007702374287082175,-0.011645010487655705,0.008285551328917673
auction_house,h01.radial_span,8,0.15740335717468587,0.006677192163830253,0.11904451431235297,0.16447479560300513,0.11337571965963966,0.16595065929875974
auction_house,h01.segmentation_confidence,8,0.8892701720361622,0.014399534883971943,0.857393799216813,0.9153628850005711,0.8259032898556761,0.9251197980370844
auction_house,h02.angular_residual_deg,8,0.16240526861537763,0.34252471884149127,-0.4060561696574723,0.5205429070832027,-0.4798262346290585,0.5491887597029841
auction_house,h02.anisotropy,8,1.8821362981422767,0.22786526932366646,1.310657290823838,2.1856658652436733,1.1393075442155454,2.3147585217211097
auction_house,h02.area_norm,8,0.021438920287561784,0.0037499910461757206,0.014668141976422478,0.025879166729381755,0.013546362841152619,0.026672312529049176
auction_house,h02.centre_r,8,0.7287872255556631,0.00857580182062645,0.677175580067356,0.7372422770143215,0.6760521177710116,0.7376649032812095
auction_house,h02.centre_t,8,0.001997447835270838,0.004493351905509521,-0.005123602428415391,0.006700321093536252,-0.0061617339735401955,0.007065219886149915
auction_house,h02.diameter_over_dial,8,0.1651867042060433,0.014431458392506383,0.1366165573684123,0.1815114396726252,0.13133074047177618,0.18428305147658194
auction_house,h02.inner_r,8,0.6214141186966211,0.00016838774910910015,0.6212461810740172,0.6286907867013927,0.621244605631249,0.6422338150813902
auction_house,h02.inner_t,8,0.007863377411199635,0.02238344977484704,-0.04103092540527083,0.0341691343491681,-0.05193805364990389,0.035764966685455604
auction_house,h02.outer_r,8,0.8250117039109478,0.024512873783825717,0.7417054204396919,0.8501431342596751,0.7408086077860754,0.8549482291415054
auction_house,h02.outer_t,8,0.010399115153889193,0.015402092465257478,-0.01949628146407021,0.060174802261238045,-0.048474047799099695,0.06935617405907532
auction_house,h02.radial_span,8,0.20288757402785046,0.027154453699951397,0.12044969156736728,0.22857738941482003,0.11956175152230025,0.23370362351025642
auction_house,h02.segmentation_confidence,8,0.6896529585199969,0.11897813685660741,0.5516494282527071,0.8786690794128169,0.5089401591282517,0.9189773945168872
auction_house,h04.angular_residual_deg,8,-0.002390213461232804,0.17040251489161307,-0.6791882028890597,0.48902341682297057,-1.2384120206385205,1.075952930987377
auction_house,h04.anisotropy,8,1.2779535370019262,0.05201789336877494,1.2106138063598215,1.5163681144539547,1.1579163508435326,1.732279724091451
auction_house,h04.area_norm,8,0.01934845806931596,0.0016887080793358718,0.014050409635369772,0.020892782033818818,0.012858534383446737,0.02139812643573437
auction_house,h04.centre_r,8,0.7353043784597625,0.02054608652361606,0.6769502943051721,0.7542075029755747,0.6761659036758972,0.7599578700028882
