run_index,source_image_id,source_id,physical_watch_id,dial_cx,dial_cy,dial_r,dial_quality,minute_track_60_x,minute_track_60_y,minute_track_60_assessable,minute_track_60_confidence,minute_track_60_reason,triangle_apex_x,triangle_apex_y,triangle_apex_assessable,triangle_apex_confidence,triangle_apex_reason,triangle_base_left_x,triangle_base_left_y,triangle_base_left_assessable,triangle_base_left_confidence,triangle_base_left_reason,triangle_base_right_x,triangle_base_right_y,triangle_base_right_assessable,triangle_base_right_confidence,triangle_base_right_reason,coronet_x,coronet_y,coronet_assessable,coronet_confidence,coronet_reason,apex_position_in_interval,apex_position_in_interval_reason,base_position_in_interval,base_position_in_interval_reason,triangle_height_ratio,triangle_height_ratio_reason,base_width_over_height,base_width_over_height_reason,horizontal_displacement_normalized,horizontal_displacement_normalized_reason
0,image_04.jpg,gen_wex_3KSuGhC,gen_wex_3KSuGhC,762.1599731445312,925.6799926757812,412.97601318359375,0.897823761258743,762.1599731445312,582.0,True,0.8130170518192756,,769.0,604.0,True,1.0,,743.6,646.0,True,1.0,,778.4,646.0,True,1.0,,734.2,740.0,True,1.0,,0.13924050632911392,,0.4050632911392405,,0.26582278481012656,,0.8285714285714275,,-0.027618408203125,
1,image_04.jpg,gen_wex_3KSuGhC,gen_wex_3KSuGhC,762.1599731445312,925.6799926757812,412.97601318359375,0.897823761258743,762.1599731445312,582.0,True,0.8130170518192756,,769.0,604.0,True,1.0,,743.6,646.0,True,1.0,,778.4,646.0,True,1.0,,734.2,740.0,True,1.0,,0.13924050632911392,,0.4050632911392405,,0.26582278481012656,,0.8285714285714275,,-0.027618408203125,
2,image_04.jpg,gen_wex_3KSuGhC,gen_wex_3KSuGhC,762.1599731445312,925.6799926757812,412.97601318359375,0.897823761258743,762.1599731445312,582.0,True,0.8130170518192756,,769.0,604.0,True,1.0,,743.6,646.0,True,1.0,,778.4,646.0,True,1.0,,734.2,740.0,True,1.0,,0.13924050632911392,,0.4050632911392405,,0.26582278481012656,,0.8285714285714275,,-0.027618408203125,
3,image_04.jpg,gen_wex_3KSuGhC,gen_wex_3KSuGhC,762.1599731445312,925.6799926757812,412.97601318359375,0.897823761258743,762.1599731445312,582.0,True,0.8130170518192756,,769.0,604.0,True,1.0,,743.6,646.0,True,1.0,,778.4,646.0,True,1.0,,734.2,740.0,True,1.0,,0.13924050632911392,,0.4050632911392405,,0.26582278481012656,,0.8285714285714275,,-0.027618408203125,
4,image_04.jpg,gen_wex_3KSuGhC,gen_wex_3KSuGhC,762.1599731445312,925.6799926757812,412.97601318359375,0.897823761258743,762.1599731445312,582.0,True,0.8130170518192756,,769.0,604.0,True,1.0,,743.6,646.0,True,1.0,,778.4,646.0,True,1.0,,734.2,740.0,True,1.0,,0.13924050632911392,,0.4050632911392405,,0.26582278481012656,,0.8285714285714275,,-0.027618408203125,
